Stiffness_N_m,Damping_Ns_m,RMS_Acceleration_m_s2,Max_Suspension_Travel_m,Max_Tire_Deflection_m,Max_Dynamic_Tire_Force_N
20000,2000,2.53447584541876,0.0789865536692862,0.0225913750602957,4292.36126145619
21000,2000,2.57764126772417,0.0797653639528807,0.0226641962556123,4306.19728856633
22000,2000,2.622613266961,0.0805081341512879,0.0227532136043425,4323.11058482507
23000,2000,2.6693459999433,0.0812159567735309,0.0228580621806435,4343.03181432226
24000,2000,2.71778563419442,0.0818898924752881,0.0229783387379346,4365.88436020757
25000,2000,2.76786969646933,0.0825330249330465,0.0231136041779859,4391.58479381733
10000,2250,2.42881298183247,0.0752666474972745,0.0254234417258925,4830.45392791957
11000,2250,2.44920198796823,0.0747154765132316,0.025346493279208,4815.83372304953
12000,2250,2.47136323425806,0.0741581296542258,0.0252867505992004,4804.48261384808
13000,2250,2.49529147767208,0.0736019613628287,0.0252404628725936,4795.68794579278
14000,2250,2.52097792626299,0.0734048459469473,0.0252074632539534,4789.41801825114
15000,2250,2.548410814314,0.0743238080818589,0.0251876248489141,4785.64872129368
16000,2250,2.5775758144338,0.0751972318743919,0.0251826853361016,4784.7102138593
17000,2250,2.60845631267446,0.0760266807201756,0.0251921908918446,4786.51626945048
18000,2250,2.64103353188152,0.0768168897994614,0.0252163458622526,4791.10571382799
19000,2250,2.67528645986563,0.0775846016664411,0.0252539672126583,4798.25377040507
20000,2250,2.71119155562565,0.0783181954005447,0.0253049086463007,4807.93264279714
21000,2250,2.74872226201419,0.0790212764112298,0.0253703968372344,4820.37539907454
22000,2250,2.78784841535187,0.0796927395998418,0.0254499345062259,4835.48755618292
23000,2250,2.8285356817989,0.0803332843144689,0.0255421606619955,4853.01052577914
24000,2250,2.87074515544997,0.0809438185837328,0.0256467982087943,4872.89165967091
25000,2250,2.91443323103885,0.0815252248692589,0.0257635351927532,4895.0716866231
10000,2500,2.64592989495431,0.0727954036503106,0.0279367768554393,5307.98760253347
11000,2500,2.66393344137162,0.0722828847682504,0.0278789952126026,5297.0090903945
12000,2500,2.68347011330219,0.0717720892049937,0.0278337384493819,5288.41030538256
13000,2500,2.70453928152493,0.0723227416592,0.0277987460150503,5281.76174285955
14000,2500,2.72713742926999,0.073186806747189,0.0277786892757127,5277.95096238541
15000,2500,2.75125848195061,0.0740142046379502,0.0277692838836115,5276.16393788618
16000,2500,2.77689404144843,0.0748056263671079,0.0277699103555331,5276.28296755128
17000,2500,2.8040335299846,0.0755608701595303,0.0277854746033975,5279.24017464552
18000,2500,2.83266424877252,0.0762813948448195,0.0278120359674047,5284.2868338069
19000,2500,2.86277135323917,0.0769738894764362,0.0278487681208684,5291.265942965
20000,2500,2.89433775001764,0.0776384090810868,0.0279000320842331,5301.00609600428
21000,2500,2.92734393379832,0.0782735426378819,0.0279616373828425,5312.71110274007
22000,2500,2.96176779941835,0.0788801287279048,0.0280330362817957,5326.27689354119
23000,2500,2.99758447845956,0.0794589829932074,0.028118023056892,5342.42438080947
24000,2500,3.03476625458357,0.080010898773727,0.0282133094288258,5360.52879147689
25000,2500,3.07328260667324,0.0805366477262185,0.0283179137710516,5380.4036164998
10000,2750,2.85981696072544,0.0704989133329141,0.0303491260400929,5766.33394761765
11000,2750,2.87591208373652,0.0704664722284252,0.030305204177794,5757.98879378085
12000,2750,2.89334797399281,0.0713088626802588,0.0302713159238566,5751.55002553276
13000,2750,2.91212614985146,0.0721181706453963,0.0302495527589812,5747.41502420643
14000,2750,2.93224584397139,0.0728964201023998,0.0302358349460545,5744.80863975036
15000,2750,2.95370419411226,0.0736442686558474,0.0302357836353951,5744.79889072508
16000,2750,2.97649638544921,0.0743607746096703,0.0302427759939693,5746.12743885417
17000,2750,3.00061574321161,0.0750463541569751,0.0302627770087291,5749.92763165854
18000,2750,3.02605377975948,0.0757018138992093,0.0302913792913855,5755.36206536324
19000,2750,3.05280020249254,0.0763286866654189,0.0303305022817839,5762.79543353894
20000,2750,3.08084289107863,0.0769306343679656,0.0303803930152595,5772.27467289931
21000,2750,3.11016785604214,0.0775061500499351,0.0304378857856715,5783.19829927758
22000,2750,3.14075919540327,0.0780559686946143,0.0305085386840433,5796.62234996823
23000,2750,3.17259907008137,0.0785808057672068,0.03058588917614,5811.31894346659
24000,2750,3.20566772034384,0.0790813577390866,0.0306747485855208,5828.20223124896
25000,2750,3.23994354370852,0.07955830259777,0.0307720830367015,5846.69577697328
10000,3000,3.07009642423215,0.0695359544630166,0.0326630053211807,6205.97101102433
11000,3000,3.08463214606335,0.0703292303251752,0.0326317412881965,6200.03084475733
